municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Lins;paulista;71432;124.98;78978;26924;2.3;0.345;0.298;8400;2487;484;0.984;6.8;4.5;30;11;0.786;68996.22;0.764;14;570.058;19.59;0.984;0.4;0.971;0.266;Mata Atlântica;Não pertence;Centro Subregional B (3B);0;Arranjo Populacional de Bauru/SP - Capital Regional B (2B);Bauru;Lins;Bauru;Lins
Cerqueira César;paulista;17532;34.27;20391;4879;2.6;0.244;0.297;2717;810;210;0.982;6.4;4.9;12;9;0.729;37123.81;0.764;8;511.621;4.29;0.914;7.1;0.715;0.042;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Avaré - Centro Subregional B (3B);Sorocaba;Avaré;Bauru;Avaré
Porangaba;paulista;8326;31.34;10205;1380;1.8;0.139;0.356;1011;248;56;0.947;6.1;5.2;2;1;0.703;19055.11;0.764;3;265.689;22.73;0.648;0.3;0.736;0.073;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);84;Botucatu - Centro Subregional A (3A)\. Tatuí - Centro Subregional B (3B);Sorocaba;Tatuí;Itapetininga;Tatuí
Araçoiaba da Serra;paulista;27299;106.88;35389;6828;2.4;0.2;0.329;4026;1006;215;0.994;6.5;5.2;16;3;0.776;24299.7;0.764;5;255.305;2.83;0.541;0.1;0.871;0.061;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de Sorocaba/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Monte Mor;paulista;48949;203.61;61707;13660;3.3;0.229;0.347;9264;2189;432;0.972;6.6;5.4;28;9;0.733;58111.83;0.764;16;240.566;9.38;0.68;0.2;0.889;0.443;Mata Atlântica;Não pertence;Metrópole (1C) - Município integrante do Arranjo Populacional de Campinas/SP;2780;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Campinas;Campinas;Campinas
Sales;paulista;5451;17.67;6481;1004;2.1;0.159;0.283;676;146;42;1;;5.4;2;1;0.751;22534.36;0.764;1;308.555;;0.94;1;0.976;0.111;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Novo Horizonte
Regente Feijó;paulista;18494;69.77;20523;5205;2.2;0.257;0.297;2431;598;177;0.988;6.9;4.7;13;5;0.768;36408.77;0.765;10;263.28;4.72;0.915;0.9;0.976;0.174;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Caçapava;paulista;84752;229.66;95752;23709;3.1;0.252;0.346;12153;3047;674;0.98;6.1;5.2;39;19;0.788;42875.69;0.765;17;368.99;5.29;0.871;0.1;0.858;0.398;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;São José dos Campos;Vale do Paraíba Paulista;São José dos Campos
Alumínio;paulista;16839;201.28;18903;6546;3.8;0.351;0.355;2555;693;141;0.988;6.7;5.2;8;2;0.766;115258.2;0.765;4;83.619;14.93;0.852;;0.712;0.471;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de Sorocaba/SP;2913;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Ipiguá;paulista;4463;32.89;5557;1195;2.1;0.222;0.321;765;175;39;0.985;6.7;5.5;2;1;0.73;19582.16;0.765;2;136.028;11.63;0.783;0.4;0.962;0.126;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Itápolis;paulista;40051;40.18;43536;12148;2;0.282;0.266;4185;1232;267;0.984;7;5.8;15;8;0.744;30497.54;0.765;9;996.747;9.64;0.917;1.7;0.985;0.112;Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Araraquara/SP - Capital Regional C (2C)\. Arranjo Populacional de Santa Adélia - Palmares Paulista - Ariranha/SP - Centro Subregional A (3A);Araraquara;Araraquara;Araraquara;Araraquara
Rubinéia;paulista;2862;11.78;3191;572;2.1;0.182;0.326;383;117;40;1;6.8;5.7;3;1;0.759;26793.59;0.767;2;242.877;;0.721;;0.888;0.002;Cerrado.Mata Atlântica;Não pertence;Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Santa Fé do Sul/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Santa Fé do Sul;São José do Rio Preto;Jales
Pindorama;paulista;15039;81.37;17378;2826;2.7;0.166;0.264;1442;318;73;0.975;6.7;5.6;6;1;0.737;21823.83;0.768;4;184.825;20.55;0.943;0.1;0.982;0.139;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Catanduva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Monte Alto;paulista;46642;134.61;51039;14903;2.5;0.295;0.273;4758;1435;323;0.986;6.4;5.4;20;9;0.768;38301.77;0.769;15;346.95;12.85;0.953;1.4;0.973;0.302;Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Jaboticabal
